fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
493,0.025685941427946092,0.7280600064992905,1.1338592553138733,-0.007034540071217634,20.0,0.5699110895338694,12.19,159,1.9738615071773529,495.02,4.0,1272000
494,0.02354986028280109,0.7566825419664382,1.1105164587497711,-0.0018212866690009832,22.0,0.5319345773222616,13.21,160,1.8871785342693328,508.84,4.0,1280000
494,0.025490428481716662,0.6817509537935257,1.1582074666023254,-0.009107749108225108,21.0,0.5677743894688563,11.84,161,1.9471655064821243,462.72,3.0,1288000
494,0.027175583322532476,0.712358922958374,1.15719131231308,-0.004141960737179033,21.0,0.5894046201557819,11.6,162,2.034783887863159,448.59,3.0,1296000
494,0.028767378721386194,0.711229510307312,1.111039373278618,-0.008535311966916197,21.0,0.623427664785213,11.53,163,2.0896444725990295,453.81,3.0,1304000
494,0.03030966855585575,0.6731968289613723,1.0987215143442155,-0.006506365747191012,22.0,0.6243782493904988,12.81,164,2.1477165532112124,490.39,4.0,1312000
494,0.026640917966142298,0.7078007572889328,1.1173403614759445,-0.004698992699559312,23.0,0.5974177599710585,14.06,165,2.02073380112648,533.18,5.0,1320000
494,0.025664778798818587,0.7380293667316437,1.1259135615825653,-0.01210888030793285,22.0,0.5719600188834724,13.67,166,1.975072700381279,523.63,5.0,1328000
494,0.02463722645305097,0.7501174318790436,1.0978193718194962,-0.009365457177627831,23.0,0.553120579007739,14.53,167,1.9110967111587525,539.39,6.0,1336000
495,0.026537678157910704,0.7113995307683945,1.0759850716590882,-0.005377358383047977,23.10000000000001,0.5930216071077442,15.91,168,2.0072331762313844,579.68,8.0,1344000
495,0.026407642173580825,0.7503403729200363,1.1341397559642792,-0.005262592115905136,23.10000000000001,0.5530450753918739,16.71,169,1.988650683760643,604.43,10.0,1352000
495,0.029107180400751533,0.7291510492563248,1.1197907435894012,-0.009888005129469093,23.10000000000001,0.6261290496208832,17.06,170,2.0890798884630204,605.07,10.9,1360000
