frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
1216000,-0.8663705813884736,0.00037789475368981584,-0.0002585332437229226,0.16481970060616732,177.41,484,0.0,1.26,0.024424501769782142,1.3854552352428435,3.0,152
1224000,-0.7256328612565994,0.00041374811965852134,0.00019261005480075255,0.16506407992914318,178.74,484,0.0,1.28,0.023144842647859522,1.385275775194168,3.0,153
1232000,-0.22501044988632202,0.0009765691981556302,0.00010311450863810023,0.28948536586016416,189.71,484,0.0,1.53,0.04442646537991262,1.3848983061313629,4.0,154
1240000,-1.4259865713119506,0.00040974273392293983,-0.0002754735459893709,0.15913738265633584,183.29,484,0.0,1.42,0.025763016634690637,1.3834457385540009,4.0,155
1248000,-0.44635411620140075,0.0005989293337552226,0.00013059065643574285,0.21845111157745123,180.69,484,0.0,1.35,0.03382192737278511,1.3853802633285524,3.1000000000000085,156
1256000,-1.1545973551273345,0.00048445229291701255,0.00022043928658604272,0.18795577220618725,182.53,484,0.0,1.36,0.03141064297430481,1.385118215084076,4.0,157
1264000,-0.5270391225814819,0.0004769825372522973,-2.9849922955236253e-05,0.19134047988802194,177.57,484,0.0,1.21,0.030483975893476158,1.385663093328476,3.0,158
1272000,-3.2321159917116167,0.0003143310044879399,-5.226065611168451e-05,0.15374276710674167,177.42,484,0.0,1.25,0.022633884153026,1.3859207832813263,3.0,159
1280000,-3.536422898173332,0.00042290343684726396,7.979481262736953e-05,0.18951882023364305,175.87,484,0.0,1.23,0.02823781994698189,1.3858955812454223,3.0,160
1288000,-0.6268033623695374,0.0007688140137588562,-0.00015280288112990093,0.25231813479214904,184.22,485,0.0,1.41,0.037432243836630304,1.3859579014778136,4.0,161
1296000,-2.2665882515907287,0.0007906927734438795,0.0007617165416013449,0.24060478053987025,187.54,485,0.0,1.48,0.043231056681613804,1.3857216250896454,4.0,162
1304000,-1.8830181324481965,0.00028251656828615524,-0.0006712329856691213,0.14908370170742274,184.55,485,0.0,1.42,0.022107591274943397,1.3852427971363068,3.0,163
1312000,-0.3298347532749176,0.000626499716172475,-5.979670695523964e-06,0.22947836723178625,188.39,485,0.0,1.52,0.031212222223877963,1.3857943832874298,4.0,164
1320000,-0.5380222827196122,0.00043423562174666586,0.00011235480022151023,0.17469958279281855,191.47,485,0.0,1.64,0.027221786782472213,1.3855162024497987,4.0,165
1328000,-0.9916474413871765,0.0008205514125847913,4.0964372565213126e-05,0.2279150625318289,189.31,485,0.0,1.65,0.03366951520336152,1.3828671228885652,5.0,166
