frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
1128000,-0.009431063067167997,493.8,0.7417023956775666,141,1.9016311609745025,1.146874206662178,0.541263902235144,12.37,570,0.023711861902847887,6.0,19.0
1136000,-0.00840865359405143,497.67,0.7652055978775024,142,1.848326027393341,1.0918980884552,0.5525899722652075,12.69,570,0.02272488738410175,6.0,20.0
1144000,-0.0039916169649950465,502.32,0.7426328712701797,143,1.776485149860382,1.106548583507538,0.536752497637546,12.89,570,0.02046877780929208,6.0,20.0
1152000,-0.006876379315217491,505.21,0.7492420542240142,144,1.8660946357250214,1.1703827273845673,0.5533833259628657,12.73,569,0.022691687121987342,6.9,19.0
1160000,-0.0043812146941854735,507.87,0.7503642332553864,145,1.806687566637993,1.1651287353038788,0.5260780779729104,12.77,569,0.021606639418751003,7.0,20.0
1168000,-0.010224828402278945,515.91,0.7481691807508468,146,1.866227606534958,1.1451409029960633,0.5420853463072381,12.66,569,0.02334192456677556,7.0,19.10000000000001
1176000,-0.010560057962138672,517.21,0.7751958996057511,147,1.8785013163089752,1.156825886964798,0.5587509167878815,12.39,568,0.024651063526980578,7.0,18.10000000000001
1184000,-0.004327457190811401,516.04,0.7537989938259124,148,1.8435994124412536,1.1519823110103606,0.5512367214922872,12.4,568,0.022265782351605593,7.0,18.10000000000001
1192000,-0.011511765699542592,525.27,0.7299052464962006,149,1.9910377645492554,1.1430704498291016,0.5784029635566441,12.57,568,0.026281012734398247,7.9,18.10000000000001
1200000,-0.005953195604961365,526.94,0.7785948818922043,150,1.7915403270721435,1.1502650272846222,0.51350905218071,12.77,568,0.02133428480476141,7.9,18.10000000000001
1208000,-0.0031367252711788753,524.46,0.8094956278800964,151,1.6324868083000184,1.149996553659439,0.4788863906189816,12.88,568,0.017421746109612286,7.9,18.10000000000001
1216000,-0.00617198512176401,522.83,0.7323874980211258,152,1.9372029316425323,1.1187551426887512,0.5855503616876815,13.07,567,0.024967855154536665,8.0,19.0
1224000,-0.005982469685404794,525.06,0.7875694185495377,153,1.762753581404686,1.0902637314796448,0.519748941137514,13.1,567,0.020600323211401702,8.0,19.0
1232000,-0.0017869290255475788,532.07,0.7688275569677353,154,1.7961225444078446,1.1382964551448822,0.5155796206581558,13.72,567,0.02113752393051982,8.0,19.10000000000001
1240000,-0.008451922416570596,530.4,0.7823270243406296,155,1.8403117752075195,1.1399853521585464,0.5564768372360417,13.62,567,0.02348326729144901,8.0,19.10000000000001
1248000,-0.0076560452400008215,534.7,0.7720026552677155,156,1.9683154320716858,1.1512124371528625,0.5612005977251481,13.77,567,0.025766329523175955,8.0,21.0
1256000,-0.007412302331213141,551.16,0.7573301649093628,157,1.8782114046812057,1.1592061877250672,0.5592540492378358,14.09,567,0.023599611925892532,9.0,21.0
1264000,-0.00515572898555547,562.31,0.7463292324542999,158,1.85177039206028,1.1568963205814362,0.5637537919468809,14.57,566,0.023137586493976414,9.0,21.0
1272000,-0.004780638618394732,570.49,0.7516833764314651,159,1.8761173129081725,1.1371037828922272,0.5762307126557118,14.76,566,0.02381042644381523,9.0,21.0
1280000,-0.012773426827334334,564.34,0.7419694197177887,160,1.9668458998203278,1.1301156210899352,0.6062435319419693,14.81,566,0.026121918447315692,9.0,21.0
1288000,-0.007418955838074908,558.52,0.7278505474328995,161,2.005228019952774,1.1687988609075546,0.6257462435944574,14.4,565,0.028226669542491437,8.0,21.10000000000001
1296000,-0.004516358062974177,562.87,0.7287496966123581,162,1.9191323000192642,1.1556921643018723,0.5742407342814474,14.58,565,0.02460121037904173,8.9,21.10000000000001
1304000,-0.0070418394119406,571.17,0.7529796862602234,163,1.8808845484256744,1.1661094069480895,0.5520102306545784,14.94,565,0.02328612334560603,9.0,22.0
1312000,-0.006528877161217679,570.19,0.7381557244062423,164,1.8917285048961638,1.1684270799160004,0.5330116017019539,15.25,565,0.023589944811537863,8.9,23.0
1320000,-0.004717668386292644,568.16,0.7442867267131805,165,1.8831347000598908,1.1264896655082703,0.5199202699337836,15.39,565,0.023398838797584177,8.9,23.0
1328000,-0.007985659352998482,568.46,0.7327953559160233,166,1.986789002418518,1.1220671266317368,0.5640022798816361,15.64,565,0.025961905415169895,9.0,23.0
1336000,-0.009744455030595418,573.44,0.6768078500032425,167,2.0000197780132294,1.0348710548877715,0.6695728315420972,15.8,564,0.026456402614712715,9.0,23.0
