fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
502,179.86,0.001159520098253779,147,0.05853930759204748,0.0003324150659318548,1176000,0.32330925405025485,1.27,0.0,3.0,1.384417861700058,-0.41169275999069216
503,185.2,0.0005852438820329553,148,0.0328534892709006,-0.0002499318852642318,1184000,0.21679846450686455,1.41,0.0,3.1000000000000085,1.3852399563789368,-1.0035748374462128
503,194.32,0.0008290641047051394,149,0.03632196473866116,-0.0001882435699553753,1192000,0.24598980486392974,1.64,0.0,4.0,1.3853232502937316,-0.5802094262838363
503,201.89,0.0008304293239666549,150,0.04071816105114712,0.0001422017549339216,1200000,0.2560215001367033,1.89,0.0,4.0,1.385588150024414,-0.7005277740955352
503,193.23,0.0006094829358062271,151,0.0342168272567896,-0.000143043440002657,1208000,0.21385685179382563,1.67,0.0,4.0,1.3853630566596984,-1.1075254034996034
503,182.49,0.00056535070093787,152,0.031035499208868885,0.0004125227355507377,1216000,0.20332408109679817,1.33,0.0,3.0,1.3858406603336335,-0.8890245991945267
503,183.36,0.0007534564927868814,153,0.032364734180726135,2.6874935374507915e-05,1224000,0.21994904033839702,1.38,0.0,3.1000000000000085,1.3855598437786103,-1.5286684948205949
503,175.95,0.0006556876097010899,154,0.03535456130391919,-0.00026009672693732,1232000,0.21401113674044608,1.23,0.0,3.0,1.3850126898288726,-3.532008609175682
503,176.05,0.000592006956228488,155,0.034303657645103514,2.247166026791092e-05,1240000,0.21889436485245825,1.25,0.0,3.0,1.3854161787033081,-1.7000970768928527
503,179.81,0.0003518236341460579,156,0.027571684593523823,-3.462117970229883e-06,1248000,0.17243705444037916,1.33,0.0,3.0,1.3856150352954864,-3.6635537910461426
503,184.39,0.000543739401161929,157,0.03108374341538039,-0.00037516844684432727,1256000,0.19559390775859356,1.41,0.0,4.0,1.3839732718467712,-0.8827641314268112
503,182.15,0.0005909130863165046,158,0.03142460518215405,-1.0568948200671002e-05,1264000,0.20214268470183014,1.35,0.0,3.0,1.3837446677684784,-0.9701554781198501
503,181.59,0.0007318786826226642,159,0.03794789333243857,0.00011644742070529901,1272000,0.22615230839699507,1.37,0.0,3.0,1.3846158754825593,-1.4759524846076966
504,183.36,0.00041708128990194384,160,0.027840585853364547,-5.197811842663214e-05,1280000,0.16900811702013016,1.4,0.0,3.0,1.3847346818447113,-2.870451463460922
504,173.89,0.0005159900390594885,161,0.029266272224266983,0.00013226218136878744,1288000,0.1838805412873626,1.16,0.0,3.0,1.385162810087204,-3.496962587237358
504,164.38,0.000832800517571286,162,0.039504835579455756,0.0001548962241577101,1296000,0.2443239381723106,1.0,0.0,3.0,1.3855866360664368,-12.496858485937118
504,177.03,0.0006078882729161706,163,0.02981213725102598,-1.3722449402848724e-05,1304000,0.21042979154735802,1.3,0.0,3.0,1.3848780703544616,-0.8320428192615509
504,186.37,0.00046529301361715626,164,0.027776230518903034,-8.154078599091007e-05,1312000,0.18722861871123314,1.44,0.0,3.1000000000000085,1.3858047747612,-0.8786734300851822
504,183.03,0.0008524921178877776,165,0.039612493296848905,1.0554046148172348e-05,1320000,0.2513954952545464,1.35,0.0,3.0,1.3854358661174775,-1.4761172062158585
